"Audio File","Resampling WER (%)","Sub","Ins","Del","Normalization WER (%)","Sub","Ins","Del","Filtering WER (%)","Sub","Ins","Del","VAD & Silence WER (%)","Sub","Ins","Del"
"baycrest_pbir","11.86","1","3","3","11.86","1","3","3","11.86","1","3","3","11.86","1","3","3"
"delaware_bimk","1.75","0","2","0","1.75","0","2","0","3.51","1","2","1","1.75","0","2","0"
"delaware_qhjd","5.41","2","4","0","5.41","2","4","0","5.41","2","4","0","5.41","2","4","0"
"delaware_riyp","4.05","3","0","0","4.05","3","0","0","4.05","3","0","0","4.05","3","0","0"
"delaware_zaok","9.09","5","2","0","9.09","5","2","0","9.09","5","2","0","9.09","5","2","0"
"depaul_hotv","7.59","2","1","3","7.59","2","1","3","7.59","2","1","3","7.59","2","1","3"
"hopkins_kfdc","11.11","1","5","0","11.11","1","5","0","11.11","1","5","0","11.11","1","5","0"
"lu_cptu","0","0","0","0","3.26","2","1","0","2.17","0","2","0","0","0","0","0"
"lu_gimv","4.48","1","2","0","4.48","1","2","0","4.48","1","2","0","4.48","1","2","0"
"lu_xfag","4.92","2","1","0","4.92","2","1","0","4.92","2","1","0","4.92","2","1","0"
"pitt_denu","5.81","0","5","0","6.98","1","5","0","5.81","0","5","0","4.65","0","4","0"
"pitt_iket","2.44","0","2","0","2.44","0","2","0","3.66","1","2","0","2.44","0","2","0"
"pitt_jzxo","2.20","0","2","0","2.20","0","2","0","2.20","0","2","0","2.20","0","2","0"
"pitt_ntqx","7.23","0","6","0","13.25","2","9","0","8.43","0","7","0","7.23","0","6","0"
"pitt_oqkr","10.23","0","2","7","10.23","2","3","4","10.23","0","2","7","10.23","0","3","6"
"pitt_vhme","2.25","0","2","0","4.49","1","2","1","4.49","1","2","1","2.25","0","2","0"
"pitt_xsrh","16.00","0","4","0","16.00","0","4","0","16.00","0","4","0","16.00","0","4","0"
"pitt_zjso","10.10","6","4","0","10.10","6","4","0","10.10","6","4","0","7.07","0","7","0"
"vas_uwrh","2.90","0","2","0","2.90","0","2","0","2.90","0","2","0","2.90","0","2","0"
"wls_dcuv","11.54","2","4","0","11.54","2","4","0","11.54","2","4","0","11.54","2","4","0"
"wls_ddnp","2.44","0","2","0","2.41","0","2","0","4.88","0","4","0","'-","'-","'-","'-"
"wls_erin","8.05","1","6","0","9.20","2","6","0","8.05","1","6","0","8.05","1","6","0"
"wls_fnas","11.76","3","5","0","11.76","3","5","0","11.76","3","5","0","11.76","3","5","0"
"wls_glvo","2.70","0","3","0","0","0","0","0","0","0","0","0","2.70","0","3","0"
"wls_kkbu","'-","'-","'-","'-","11.29","1","6","0","11.29","1","6","0","12.90","1","6","1"
"wls_xdvr","5.88","3","3","0","4.90","2","3","0","4.90","2","3","0","5.88","3","3","0"
"Average","6.47","1.28","2.88","0.52","7.05","1.58","3.08","0.42","6.94","1.35","3.08","0.58","6.72","1.08","3.16","0.52"
